,URL,Title,Author,Avg_rating,Num_reviews,Num_ratings,Pages,Publish_year,Series,Genres,Awards,Places
917,https://www.goodreads.com/book/show/11735983-insurgent,Insurgent,Veronica Roth,4.01,59369,1227248,525,2012,Divergent #2,"['Young Adult', 'Science Fiction', '10,638 users']","[""Romantic Times Reviewers' Choice Award (RT Award) for Young Adult Protagonist (2011)"", 'Goodreads Choice Award for Young Adult Fantasy and Goodreads Author (2012)']","Chicago, Illinois  (United States)"
918,https://www.goodreads.com/book/show/6420846-lockdown,Lockdown,Alexander Gordon Smith,4.11,2368,18340,273,2009,Escape from Furnace #1,"['Young Adult', 'Horror', 'Science Fiction']","['Georgia Peach Book Award Nominee for Honor book (2011)', 'Lincoln Award Nominee (2013)']",
919,https://www.goodreads.com/book/show/17788681-the-stars-never-rise,The Stars Never Rise,Rachel Vincent,3.72,858,4957,368,2015,The Stars Never Rise Duology #1,"['Young Adult', 'Fantasy', 'Fantasy']",,
920,https://www.goodreads.com/book/show/89583.Six_Moon_Dance,Six Moon Dance,Sheri S. Tepper,3.79,80,1574,544,1998,,"['Science Fiction', 'Fantasy', 'Fiction']",['James Tiptree Jr. Award Nominee for Longlist (1998)'],
921,https://www.goodreads.com/book/show/420496.A_Knight_of_the_Word,A Knight of the Word,Terry Brooks,4.05,331,14468,386,1998,The Word & The Void #2,"['Fantasy', 'Fantasy', '117 users']",,
922,https://www.goodreads.com/book/show/21116887-the-rain,The Rain,Virginia Bergin,3.49,1648,9578,386,2014,The Rain #1,"['Young Adult', 'Science Fiction', '126 users']",,
923,https://www.goodreads.com/book/show/25667918-binti,Binti,Nnedi Okorafor,3.92,7911,53567,96,2015,Binti #1,"['Science Fiction', 'Fiction', 'Fantasy']","['Hugo Award for Best Novella (2016)', 'Nebula Award for Best Novella (2015)', 'Locus Award Nominee for Best Novella (2016)', 'Nommo Award for Best Novella (2017)']",
924,https://www.goodreads.com/book/show/161887.East,East,Edith Pattou,4.14,2836,40344,507,2003,East #1,"['Fantasy', 'Young Adult', 'Fantasy']","['Michigan Library Association Thumbs Up! Award Nominee (2004)', ""Rebecca Caudill Young Readers' Book Award Nominee (2008)""]",Andalsnes  (Norway)   La Rochelle  (France)
925,https://www.goodreads.com/book/show/7314222-noise,Noise,Darin Bradley,3.22,55,345,222,2010,,"['Fiction', 'Horror', 'Science Fiction']",,
926,https://www.goodreads.com/book/show/10090.Mountain_of_Black_Glass,Mountain of Black Glass,Tad Williams,4.06,209,14730,749,1999,Otherland #3,"['Fantasy', 'Science Fiction', 'Fiction']",,
