,Unnamed: 0,url,title,author,avg_rating,num_reviews,num_ratings,pages,publish_year,series,genres,awards,places,book_score,mean_norm,min_max_norm
495,495,https://www.goodreads.com/book/show/18774020-california,California,Edan Lepucki,3.23,2944,18986,393.0,2014,False,"['Science Fiction', '284 users', '260 users']",['Goodreads Choice Award Nominee for Science Fiction (2014)'],California  (United States),520,4.421353040540541,4.618243243243243
496,496,https://www.goodreads.com/book/show/41064.The_Penultimate_Truth,The Penultimate Truth,Philip K. Dick,3.78,497,8143,191.0,1964,False,"['Science Fiction', 'Fiction', 'Science Fiction']",,"San Francisco Bay Area, California, 2025  (United States)",515,5.257501689189189,6.29054054054054
497,497,https://www.goodreads.com/book/show/11471922-a-long-long-sleep,"A Long, Long Sleep",Anna Sheehan,3.82,1184,7309,352.0,2011,True,"['Young Adult', 'Science Fiction', 'Science Fiction']",['Golden Duck Award for Young Adult (Hal Clement Award) (2012)'],,514,5.318312499999999,6.412162162162162
498,498,https://www.goodreads.com/book/show/17231.Darkly_Dreaming_Dexter,Darkly Dreaming Dexter,Jeff Lindsay,3.88,6597,198432,288.0,2004,True,"['Fiction', 'Mystery', 'Thriller']","['Barry Award Nominee for Best Novel (2005)', 'Macavity Award Nominee for Best Mystery Novel (2005)', 'Dilys Award (2005)', 'Lincoln Award Nominee (2007)']","Miami, Florida  (United States)   Florida  (United States)",513,5.409528716216216,6.594594594594594
499,499,https://www.goodreads.com/book/show/22353105-the-pustoy,The Pustoy,Philippe Blenkiron,4.61,7,18,62.0,2014,False,,,,510,6.519326013513514,8.81418918918919
500,500,https://www.goodreads.com/book/show/21420065-an-uncommon-blue,An Uncommon Blue,R.C. Hancock,4.16,73,180,275.0,2014,True,"['Fantasy', 'Young Adult', 'Science Fiction']",,,500,5.835204391891892,7.4459459459459465
501,501,https://www.goodreads.com/book/show/27038586-keepers-of-men,Keepers of Men,Eric Martindale,4.62,15,21,426.0,2015,False,"['Apocalyptic', '5 users', '4 users']",,,500,6.534528716216217,8.844594594594595
502,502,https://www.goodreads.com/book/show/52862903-maya-of-the-in-between,Maya of the In-between,Sita Bennett,4.81,17,96,326.0,2020,True,"['Environment', '5 users', '5 users']",,,500,6.823380067567567,9.422297297297296
503,503,https://www.goodreads.com/book/show/19039858-legendary-detective-at-the-world-s-end,Legendary Detective at the World's End,Kaye Wagner,3.22,26,205,324.0,2013,False,"['Science Fiction', 'Mystery', 'Short Stories']",,,500,4.406150337837838,4.587837837837839
504,504,https://www.goodreads.com/book/show/35488914-city-of-vikings,City of Vikings,Farah Cook,4.27,68,251,278.0,2017,True,"['Fantasy', 'Young Adult', 'Fiction']",,,499,6.002434121621621,7.780405405405404
505,505,https://www.goodreads.com/book/show/29345928-di-undici-foglie,Di undici foglie,Dino Olivieri,4.18,7,51,304.0,2015,False,,,,497,5.865609797297298,7.506756756756756
506,506,https://www.goodreads.com/book/show/13517455-reboot,Reboot,Amy Tintera,3.9,3619,30898,365.0,2013,True,"['Young Adult', 'Science Fiction', '802 users']",,Republic of Texas,496,5.439934121621621,6.655405405405405
507,507,https://www.goodreads.com/book/show/12456298-wormwood,Wormwood,D.H. Nevins,3.98,136,292,340.0,2011,True,"['Paranormal', '15 users', '15 users']",['Best Indie Book Award Nominee (0)'],,495,5.561555743243243,6.898648648648649
508,508,https://www.goodreads.com/book/show/15805996-goodbye-padania,"Goodbye, Padania",Bryan  Murphy,4.1,4,20,98.0,2012,False,,,,494,5.743988175675675,7.263513513513512
509,509,https://www.goodreads.com/book/show/16173593-dissidence,Dissidence,Jamie Canosa,3.8,33,312,364.0,2012,True,"['Science Fiction', '21 users', '14 users']",,,494,5.287907094594595,6.351351351351351
510,510,https://www.goodreads.com/book/show/607639.The_Beach,The Beach,Alex Garland,3.94,2882,77242,436.0,1996,False,"['Fiction', 'Travel', 'Thriller']",['Betty Trask Award (1997)'],Thailand,493,5.500744932432433,6.777027027027026
511,511,https://www.goodreads.com/book/show/85863.Nova,Nova,Samuel R. Delany,3.82,454,6806,241.0,1968,False,"['Science Fiction', 'Fiction', 'Space']",['Hugo Award Nominee for Best Novel (1969)'],,492,5.318312499999999,6.412162162162162
