,url,title,author,avg_rating,num_reviews,num_ratings,pages,publish_year,series,genres,awards,places,book_score
889,https://www.goodreads.com/book/show/563943.The_Last_Dog_on_Earth,The Last Dog on Earth,Daniel Ehrenhaft,4.16,171,1388,234.0,2003.0,,"['Young Adult', 'Animals', 'Fiction']",,,239
890,https://www.goodreads.com/book/show/9378297-anna-dressed-in-blood,Anna Dressed in Blood,Kendare Blake,3.91,10012,100606,316.0,2011.0,Anna #1,"['Young Adult', 'Horror', 'Fantasy']","['Lincoln Award Nominee (2015)', 'Endeavour Award Nominee (2012)', 'CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2011)', 'Missouri Gateway Readers Award Nominee (2014)']","Thunder Bay, Ontario  (Canada)",238
891,https://www.goodreads.com/book/show/27523.Left_Behind,Left Behind,Tim LaHaye,3.84,3892,209776,342.0,1995.0,Left Behind #1,"['Fiction', 'Christian', 'Christian Fiction']",,"Illinois  (United States)   New York City, New York  (United States)   Mount Prospect, Illinois  (United States)   …more Chicago, Illinois  (United States)   …less",238
892,https://www.goodreads.com/book/show/20518872-the-three-body-problem,The Three-Body Problem,Liu Cixin,4.06,16863,170479,399.0,2006.0,Remembrance of Earth's Past #1,"['Science Fiction', 'Fiction', 'Cultural']","['Hugo Award for Best Novel (2015)', 'Nebula Award Nominee for Best Novel (2014)', 'Locus Award Nominee for Best Science Fiction Novel (2015)', 'John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015)', 'Prometheus Award Nominee for Best Novel (2015)']",China  Beijing  (China)   Panama Canal  (Panama),237
893,https://www.goodreads.com/book/show/1504222.Zenith,Zenith,Julie Bertagna,3.61,92,1008,340.0,2007.0,Exodus / Raging Earth #2,"['Young Adult', 'Science Fiction', '35 users']",['Carnegie Medal Nominee (2008)'],,237
894,https://www.goodreads.com/book/show/22489107-fairest,Fairest,Marissa Meyer,3.97,13809,114025,222.0,2015.0,The Lunar Chronicles #3.5,"['Fantasy', 'Young Adult', 'Science Fiction']",,Luna,235
895,https://www.goodreads.com/book/show/18077769-authority,Authority,Jeff VanderMeer,3.52,6407,63236,341.0,2014.0,Southern Reach #2,"['Science Fiction', 'Fiction', 'Horror']",,,235
896,https://www.goodreads.com/book/show/966835.The_Last_Man,The Last Man,Mary Wollstonecraft Shelley,3.35,563,4107,479.0,1826.0,,"['Classics', 'Fiction', 'Science Fiction']",,"Windsor, Berkshire, England  Istanbul  (Turkey)   Perth, Scotland  …more Dunkeld, Perthshire, Scotland  Greece  England  …less",235
897,https://www.goodreads.com/book/show/6641635-the-golden-spiral,The Golden Spiral,Lisa Mangum,3.85,748,6891,365.0,2010.0,Hourglass Door  #2,"['Fantasy', 'Young Adult', 'Romance']",,,234
898,https://www.goodreads.com/book/show/32109569-we-are-legion-we-are-bob,We Are Legion (We Are Bob),Dennis E. Taylor,4.28,4882,59914,383.0,2016.0,Bobiverse #1,"['Science Fiction', 'Fiction', 'Audiobook']",['Seiun Award 星雲賞 Nominee for Best Translated Novel (2019)'],,233
899,https://www.goodreads.com/book/show/7245329-the-candidates,The Candidates,Inara Scott,3.6,432,3848,293.0,2010.0,Delcroix Academy #1,"['Young Adult', 'Fantasy', '103 users']",,,231
900,https://www.goodreads.com/book/show/125956.Black,Black: The Birth of Evil,Ted Dekker,4.19,1879,32888,432.0,2003.0,The Circle #1,"['Fantasy', 'Fiction', 'Christian Fiction']",,,231
901,https://www.goodreads.com/book/show/631169.Eva,Eva,Peter Dickinson,3.42,230,2032,219.0,1988.0,,"['Young Adult', 'Science Fiction', 'Fiction']","[""Pacific Northwest Library Association Young Reader's Choice Award for Senior (1992)"", ""Phoenix Award (Children's Literature Association) (2008)""]",,231
902,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,A Game of Thrones,George R.R. Martin,4.44,55516,2084844,835.0,1996.0,A Song of Ice and Fire #1,"['Fantasy', 'Fiction', 'Fantasy']","['Nebula Award Nominee for Best Novel (1997)', 'Locus Award for Best Fantasy Novel (1997)', 'World Fantasy Award Nominee for Best Novel (1997)', 'Premio Ignotus for Novela extranjera (2003)']",The Lands of Ice and Fire,231
903,https://www.goodreads.com/book/show/18122.The_Amber_Spyglass,The Amber Spyglass,Philip Pullman,4.08,11049,316981,467.0,2000.0,His Dark Materials #3,"['Fantasy', 'Young Adult', 'Fiction']","['Booker Prize Nominee for Longlist (2001)', 'Locus Award Nominee for Best Fantasy Novel (2001)', ""Whitbread Award for Children's Book of the Year and Book of the Year (2001)"", ""British Book Award for Children's Book of the Year (2001)"", ""Audie Award for Children's Titles Ages 8-12 (2002)\n...more\nWest Australian Young Readers' Book Award (WAYRBA) for Older Readers (2002)\n...less""]",,228
904,https://www.goodreads.com/book/show/703292.The_Witch_of_Blackbird_Pond,The Witch of Blackbird Pond,Elizabeth George Speare,3.98,6283,140445,256.0,1958.0,,"['Historical', '3,195 users', '1,893 users']","['Newbery Medal (1959)', ""Dorothy Canfield Fisher Children's Book Award Nominee (1960)""]",United States of America  Connecticut  (United States),228
905,https://www.goodreads.com/book/show/1655668.Go_Go_Girls_of_the_Apocalypse,Go-Go Girls of the Apocalypse,Victor Gischler,3.75,302,2023,324.0,2008.0,,"['Apocalyptic', '51 users', '49 users']",,United States of America,226
906,https://www.goodreads.com/book/show/18140842-in-the-end,In the End,Demitria Lunetta,3.92,622,4631,432.0,2014.0,In the After #2,"['Young Adult', 'Science Fiction', '114 users']",,,226
907,https://www.goodreads.com/book/show/230853.Veniss_Underground,Veniss Underground,Jeff VanderMeer,3.78,208,2353,278.0,2003.0,,"['Fantasy', 'Science Fiction', 'Fiction']","['Bram Stoker Award Nominee for Best First Novel (2003)', 'World Fantasy Award Nominee for Best Novel (2004)']",,224
908,https://www.goodreads.com/book/show/189783.The_Elfstones_of_Shannara,The Elfstones of Shannara,Terry Brooks,3.95,1684,70004,23.0,1982.0,The Original Shannara Trilogy #2,"['Fantasy', 'Fiction', 'Fantasy']",,,224
909,https://www.goodreads.com/book/show/119324.The_Subtle_Knife,The Subtle Knife,Philip Pullman,4.13,10700,387682,326.0,1997.0,His Dark Materials #2,"['Fantasy', 'Young Adult', 'Fiction']","[""Audie Award for Children's Titles Ages 8-12 (2001)"", 'North East Teenage Book Award Nominee (1999)']",,224
910,https://www.goodreads.com/book/show/18584855-heartless,Heartless,Marissa Meyer,4.04,18135,107808,453.0,2016.0,,"['Fantasy', 'Young Adult', 'Retellings']","['Rhode Island Teen Book Award Nominee (2018)', 'Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2016)', 'Missouri Gateway Readers Award Nominee (2018)']",,224
911,https://www.goodreads.com/book/show/216213.The_Rising,The Rising,Brian Keene,3.79,678,9369,321.0,2003.0,The Rising #1,"['Horror', 'Horror', '330 users']",['Bram Stoker Award for Best First Novel (2003)'],,222
912,https://www.goodreads.com/book/show/16068780-the-jewel,The Jewel,Amy Ewing,3.87,4577,39067,358.0,2014.0,The Lone City #1,"['Young Adult', 'Fantasy', 'Science Fiction']",,,222
913,https://www.goodreads.com/book/show/216361.The_World_Jones_Made,The World Jones Made,Philip K. Dick,3.63,206,2964,199.0,1956.0,,"['Science Fiction', 'Fiction', 'Novels']",,,221
914,https://www.goodreads.com/book/show/11320138-shadows,Shadows,Ilsa J. Bick,3.78,1126,10220,518.0,2012.0,Ashes Trilogy #2,"['Young Adult', 'Horror', '220 users']",,,221
915,https://www.goodreads.com/book/show/22698568-the-invasion-of-the-tearling,The Invasion of the Tearling,Erika Johansen,4.11,4975,47522,515.0,2015.0,The Queen of the Tearling #2,"['Fantasy', 'Young Adult', 'Fiction']",['Goodreads Choice Award Nominee for Fantasy (2015)'],,221
916,https://www.goodreads.com/book/show/15812814-crossed,Crossed,Ally Condie,3.53,15232,221830,367.0,2011.0,Matched #2,"['Young Adult', 'Science Fiction', '3,565 users']",,,221
917,https://www.goodreads.com/book/show/11735983-insurgent,Insurgent,Veronica Roth,4.01,59369,1227248,525.0,2012.0,Divergent #2,"['Young Adult', 'Science Fiction', '10,638 users']","[""Romantic Times Reviewers' Choice Award (RT Award) for Young Adult Protagonist (2011)"", 'Goodreads Choice Award for Young Adult Fantasy and Goodreads Author (2012)']","Chicago, Illinois  (United States)",220
